Code,Description of Goods
72.28.20.00-50,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Bars and rods, of silico-manganese steel - Not cold-formed"
72.28.30.00,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded"
72.28.30.00-41,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded - Of tool steel (other than high-speed steel): - Of ball bearing steel"
72.28.30.00-42,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded - Of tool steel (other than high-speed steel): - Of chipper knife steel, not cold-formed"
72.28.30.00-49,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded - Of tool steel (other than high-speed steel): - Other"
72.28.30.00-51,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded - Concrete reinforcing bars and rods: - With a diameter of 12 mm or less"
72.28.30.00-52,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded - Concrete reinforcing bars and rods: - With a diameter of more than 12 mm but not exceeding 39 mm"
72.28.30.00-53,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded - Concrete reinforcing bars and rods: - With a diameter exceeding 39 mm"
72.28.30.00-60,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded - Other, of high-nickel alloy steel"
72.28.30.00-71,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded - Other rounds: - With a diameter of less than 76 mm"
72.28.30.00-72,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded - Other rounds: - With a diameter of 76 mm or more but not exceeding 152 mm"
72.28.30.00-73,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded - Other rounds: - With a diameter of 152 mm or more but not exceeding 228 mm"
72.28.30.00-74,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded - Other rounds: - With a diameter exceeding 228 mm"
72.28.30.00-81,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded - Other, of rectangular cross section: - With a minimum cross section less than 152mm"
72.28.30.00-82,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded - Other, of rectangular cross section: - With a maximum cross section of 152mm or more"
72.28.30.00-90,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded - Other"
72.28.40.00,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than forged"
72.28.40.00-10,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than forged - Mold steel"
72.28.40.00-20,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than forged - Tool steel"
72.28.40.00-90,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than forged - Other"
72.28.50.00,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than cold-formed or cold-finished"
72.28.50.00-10,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than cold-formed or cold-finished - Mold steel"
72.28.50.00-20,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than cold-formed or cold-finished - Tool steel"
72.28.50.00-90,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods, not further worked than cold-formed or cold-finished - Other"
72.28.60.00-00,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Other bars and rods"
72.28.70.00,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections"
72.28.70.00-11,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - L sections, not further worked than hot-rolled, cold-rolled, drawn or extruded: - Equal legs"
72.28.70.00-12,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - L sections, not further worked than hot-rolled, cold-rolled, drawn or extruded: - Unequal legs"
72.28.70.00-21,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - Wide flange H sections, not further worked than hot-rolled, cold-rolled, drawn or extruded: - Of a height not exceeding 150 mm"
72.28.70.00-22,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - Wide flange H sections, not further worked than hot-rolled, cold-rolled, drawn or extruded: - Of a height exceeding 150 mm"
72.28.70.00-30,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - Other H sections, not further worked than hot-rolled, cold-rolled, drawn or extruded"
72.28.70.00-41,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - I sections, not further worked than hot-rolled, cold-rolled, drawn or extruded: - American standard, of a height not exceeding 150 mm"
72.28.70.00-42,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - I sections, not further worked than hot-rolled, cold-rolled, drawn or extruded: - American standard, of a height exceeding 150 mm"
72.28.70.00-49,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - I sections, not further worked than hot-rolled, cold-rolled, drawn or extruded: - Other"
72.28.70.00-50,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - U sections, not further worked than hot-rolled, cold-rolled, drawn or extruded"
72.28.70.00-60,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - T sections, not further worked than hot-rolled, cold-rolled, drawn or extruded"
72.28.70.00-70,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - Z sections, not further worked than hot-rolled, cold-rolled, drawn or extruded"
72.28.70.00-81,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - Other shapes or sections, not further worked than hot-rolled, cold-rolled, drawn or extruded: - Bearing pile"
72.28.70.00-82,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - Other shapes or sections, not further worked than hot-rolled, cold-rolled, drawn or extruded: - Curved grader blade sections"
72.28.70.00-83,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - Other shapes or sections, not further worked than hot-rolled, cold-rolled, drawn or extruded: - Track shoe profile bars of steel, of a width of 190 mm or more but not exceeding 350 mm and of a height not exceeding 150 mm, for use in the manufacture of track shoes for track-laying machinery or vehicles"
72.28.70.00-89,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - Other shapes or sections, not further worked than hot-rolled, cold-rolled, drawn or extruded: - Other"
72.28.70.00-91,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - Other: - L sections"
72.28.70.00-92,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - Other: - H or I sections"
72.28.70.00-93,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - Other: - U sections"
72.28.70.00-99,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Angles, shapes and sections - Other: - Other"
72.28.80.00,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Hollow drill bars and rods"
72.28.80.00-11,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Hollow drill bars and rods - Not further worked than hot-rolled: - Round, alloy steel"
72.28.80.00-12,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Hollow drill bars and rods - Not further worked than hot-rolled: - Round, non-alloy steel"
72.28.80.00-18,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Hollow drill bars and rods - Not further worked than hot-rolled: - Other, alloy steel"
72.28.80.00-19,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Hollow drill bars and rods - Not further worked than hot-rolled: - Other"
72.28.80.00-91,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Hollow drill bars and rods - Other: - Round, alloy steel"
72.28.80.00-92,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Hollow drill bars and rods - Other: - Round, non-alloy steel"
72.28.80.00-98,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Hollow drill bars and rods - Other: - Other, alloy steel"
72.28.80.00-99,"Other bars and rods of other alloy steel; angles, shapes and sections, of other alloy steel; hollow drill bars and rods, of alloy or non-alloy steel. - Hollow drill bars and rods - Other: - Other"
00.00.72.29,Wire of other alloy steel.
72.29.20.00,Wire of other alloy steel. - Of silico-manganese steel
72.29.20.00-11,"Wire of other alloy steel. - Of silico-manganese steel - Round, of a diameter not exceeding 1.6 mm, containing by weight less than 0.2% of carbon, more than 0.9% of manganese, and more than 0.6% of silicon, suitable for electric arc-welding:
 - Plated or coated with copper"
72.29.20.00-19,"Wire of other alloy steel. - Of silico-manganese steel - Round, of a diameter not exceeding 1.6 mm, containing by weight less than 0.2% of carbon, more than 0.9% of manganese, and more than 0.6% of silicon, suitable for electric arc-welding:
 - Other"
72.29.20.00-90,Wire of other alloy steel. - Of silico-manganese steel - Other
72.29.90.00,Wire of other alloy steel. - Other
72.29.90.00-30,Wire of other alloy steel. - Other - Of high-speed steel
72.29.90.00-40,Wire of other alloy steel. - Other - Other flat
72.29.90.00-51,"Wire of other alloy steel. - Other - Other round, of a diameter not exceeding 1.6 mm, containing by weight less than 0.2% of carbon and more than 0.3% of nickel or more than 0.08% of molybdenum, suitable for electric arc-welding:
 - Plated or coated with copper"
72.29.90.00-59,"Wire of other alloy steel. - Other - Other round, of a diameter not exceeding 1.6 mm, containing by weight less than 0.2% of carbon and more than 0.3% of nickel or more than 0.08% of molybdenum, suitable for electric arc-welding:
 - Other"
72.29.90.00-61,"Wire of other alloy steel. - Other - Other round, containing by weight 1.2% or more of silicon and 0.6% or more of chromium:
 - Of a diameter of less than 1 mm"
72.29.90.00-62,"Wire of other alloy steel. - Other - Other round, containing by weight 1.2% or more of silicon and 0.6% or more of chromium:
 - Of a diameter of 1 mm or more but less than 1.5 mm"
72.29.90.00-63,"Wire of other alloy steel. - Other - Other round, containing by weight 1.2% or more of silicon and 0.6% or more of chromium:
 - Of a diameter of 1.5 mm or more but less than 3 mm"
72.29.90.00-64,"Wire of other alloy steel. - Other - Other round, containing by weight 1.2% or more of silicon and 0.6% or more of chromium:
 - Of a diameter of 3 mm or more"
72.29.90.00-71,"Wire of other alloy steel. - Other - Other round:
 - Of a diameter of less than 1 mm"
72.29.90.00-72,"Wire of other alloy steel. - Other - Other round:
 - Of a diameter of 1 mm or more but less than 1.5 mm"
72.29.90.00-73,"Wire of other alloy steel. - Other - Other round:
 - Of a diameter of 1.5 mm or more but less than 3 mm"
72.29.90.00-74,"Wire of other alloy steel. - Other - Other round:
 - Of a diameter of 3 mm or more"
72.29.90.00-90,Wire of other alloy steel. - Other - Other
00.00.73.01,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel."
73.01.10.00-00,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel. - Sheet piling"
73.01.20.00,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel. - Angles, shapes and sections"
73.01.20.00-10,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel. - Angles, shapes and sections - Of a height not exceeding 635 mm"
73.01.20.00-20,"Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel. - Angles, shapes and sections - Of a height exceeding 635 mm"
00.00.73.02,"Railway or tramway track construction material of iron or steel, the following: rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails."
73.02.10.00,"Railway or tramway track construction material of iron or steel, the following: rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails. - Rails"
73.02.10.00-11,"Railway or tramway track construction material of iron or steel, the following: rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails. - Rails - Heat treated: - Of a weight not exceeding 57 kg/m"
73.02.10.00-12,"Railway or tramway track construction material of iron or steel, the following: rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails. - Rails - Heat treated: - Of a weight exceeding 57 kg/m but not exceeding 67 kg/m"
73.02.10.00-13,"Railway or tramway track construction material of iron or steel, the following: rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails. - Rails - Heat treated: - Of a weight exceeding 67 kg/m"
73.02.10.00-21,"Railway or tramway track construction material of iron or steel, the following: rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails. - Rails - Not heat treated: - Of a weight not exceeding 57 kg/m"
73.02.10.00-22,"Railway or tramway track construction material of iron or steel, the following: rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails. - Rails - Not heat treated: - Of a weight exceeding 57 kg/m"
00.73.02.30,"Railway or tramway track construction material of iron or steel, the following: rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails. - Switch blades, crossing frogs, point rods and other crossing pieces"
73.02.30.10-00,"Railway or tramway track construction material of iron or steel, the following: rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails. - Switch blades, crossing frogs, point rods and other crossing pieces - For use with grooved or girder guard rail"
73.02.30.90-00,"Railway or tramway track construction material of iron or steel, the following: rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails. - Switch blades, crossing frogs, point rods and other crossing pieces - Other"
73.02.40.00-00,"Railway or tramway track construction material of iron or steel, the following: rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails. - Fish-plates and sole plates"
73.02.90.00-00,"Railway or tramway track construction material of iron or steel, the following: rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails. - Other"
73.03.00.00,"Tubes, pipes and hollow profiles, of cast iron."
73.03.00.00-10,"Tubes, pipes and hollow profiles, of cast iron. - Not finned, threaded or flanged: - Soil pipes"
73.03.00.00-20,"Tubes, pipes and hollow profiles, of cast iron. - Pressure pipes"
73.03.00.00-90,"Tubes, pipes and hollow profiles, of cast iron. - Other"
00.00.73.04,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel."
73.04.11.00-00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Of stainless steel"
73.04.19.00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other"
73.04.19.00-13,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter not exceeding 60.3 mm: - Of an A.P.I. grade not exceeding X-52"
73.04.19.00-14,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter not exceeding 60.3 mm: - Of an A.P.I. grade greater than X-52 but not exceeding X-65"
73.04.19.00-15,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter not exceeding 60.3 mm: - Of an A.P.I. grade greater than X-65 but not exceeding X-70"
73.04.19.00-16,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter not exceeding 60.3 mm: - Of an A.P.I. grade greater than X-70 but not exceeding X-80"
73.04.19.00-19,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter not exceeding 60.3 mm: - Other"
73.04.19.00-23,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 60.3 mm but not exceeding 219.1 mm: - Of an A.P.I. grade not exceeding X-52"
73.04.19.00-24,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 60.3 mm but not exceeding 219.1 mm: - Of an A.P.I. grade greater than X-52 but not exceeding X-65"
73.04.19.00-25,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 60.3 mm but not exceeding 219.1 mm: - Of an A.P.I. grade greater than X-65 but not exceeding X-70"
73.04.19.00-26,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 60.3 mm but not exceeding 219.1 mm: - Of an A.P.I. grade greater than X-70 but not exceeding X-80"
73.04.19.00-29,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 60.3 mm but not exceeding 219.1 mm: - Other"
73.04.19.00-61,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 219.1 mm but not exceeding 355.6 mm: - Of an A.P.I. grade not exceeding X-52"
73.04.19.00-62,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 219.1 mm but not exceeding 355.6 mm: - Of an A.P.I. grade greater than X-52 but not exceeding X-65"
73.04.19.00-63,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 219.1 mm but not exceeding 355.6 mm: - Of an A.P.I. grade greater than X-65 but not exceeding X-70"
73.04.19.00-64,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 219.1 mm but not exceeding 355.6 mm: - Of an A.P.I. grade greater than X-70 but not exceeding X-80"
73.04.19.00-69,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 219.1 mm but not exceeding 355.6 mm: - Other"
73.04.19.00-71,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 355.6 mm but not exceeding 610 mm: - Of an A.P.I. grade not exceeding X-52"
73.04.19.00-72,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 355.6 mm but not exceeding 610 mm: - Of an A.P.I. grade greater than X-52 but not exceeding X-65"
73.04.19.00-73,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 355.6 mm but not exceeding 610 mm: - Of an A.P.I. grade greater than X-65 but not exceeding X-70"
73.04.19.00-74,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 355.6 mm but not exceeding 610 mm: - Of an A.P.I. grade greater than X-70 but not exceeding X-80"
73.04.19.00-79,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 355.6 mm but not exceeding 610 mm: - Other"
73.04.19.00-81,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 610 mm: - Of an A.P.I. grade not exceeding X-52"
73.04.19.00-82,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 610 mm: - Of an A.P.I. grade greater than X-52 but not exceeding X-65"
73.04.19.00-83,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 610 mm: - Of an A.P.I. grade greater than X-65 but not exceeding X-70"
73.04.19.00-84,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 610 mm: - Of an A.P.I. grade greater than X-70 but not exceeding X-80"
73.04.19.00-89,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Line pipe of a kind used for oil or gas pipelines: - Other - Of an external diameter exceeding 610 mm: - Other"
73.04.22.00-00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Casing, tubing and drill pipe, of a kind used in drilling for oil or gas: - Drill pipe of stainless steel"
73.04.23.00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Casing, tubing and drill pipe, of a kind used in drilling for oil or gas: - Other drill pipe"
73.04.23.00-10,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Casing, tubing and drill pipe, of a kind used in drilling for oil or gas: - Other drill pipe - New: - Of iron or non-alloy steel"
73.04.23.00-20,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Casing, tubing and drill pipe, of a kind used in drilling for oil or gas: - Other drill pipe - Of alloy steel"
73.04.24.00-00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Casing, tubing and drill pipe, of a kind used in drilling for oil or gas: - Other, of stainless steel"
73.04.29.00,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Casing, tubing and drill pipe, of a kind used in drilling for oil or gas: - Other"
73.04.29.00-12,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Casing, tubing and drill pipe, of a kind used in drilling for oil or gas: - Other - Casing, of an external diameter of 114.3mm or more but not exceeding 177.8mm: - Plain end, of an A.P.I. grade H-40, J-55, K-55 or equivalent proprietary specification"
73.04.29.00-13,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Casing, tubing and drill pipe, of a kind used in drilling for oil or gas: - Other - Casing, of an external diameter of 114.3mm or more but not exceeding 177.8mm: - Threaded and coupled to A.P.I. specifications, of an A.P.I. grade H-40, J-55, K-55 or equivalent proprietary specification"
73.04.29.00-14,"Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel. - Casing, tubing and drill pipe, of a kind used in drilling for oil or gas: - Other - Casing, of an external diameter of 114.3mm or more but not exceeding 177.8mm: - Premium or semi-premium threaded and coupled, of an A.P.I. grade H-40, J-55, K-55 or equivalent proprietary specification"
